smiles,MW,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,LabuteASA,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolMR,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumRadicalElectrons,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons
CS(=O)(=O)c1ccc(Cn2c(=O)c(C(=O)NCc3ccc(F)cc3)c(O)c3ncc(Cc4ccccc4)cc32)cc1,571.16,8.0,2.0,118.36,9.0,5.0,10.0,10.0,0.0,33.0,0.2727272727272727,0.0,0.0,0.288,2.547,0.129,31.0,-1.092,1,0,0,0,0.0,0.0,1.0,1.0,-4.936717863864814,3.2859571788148685,3.616865031144946,130.9262774001282,351.6838397862582,8.278395967840057,4.906685028746246,-5.2226395968636,-4.755417610824448,0.0186928063631057,0.9781566858291626,0.0032042129896581,4.482269287109375e-05,0.0021268129348754,0.0028648376464843,0.0036187767982482,0.9079545140266418,0.659237265586853,5.043444161856314e-06,0.9999997615814208,0.8424582481384277,0.717717707157135,99.2416291160005,-0.3542047319486836,0.4479913376477968,0.6927886605262756,0.1625575572252273,0.9999297857284546,0.0006925993948243,0.9999754428863524,0.842685341835022,0.7516953945159912,0.0823000445961952,0.9998888969421388,0.6202533841133118,0.9304423928260804,1.5749585880256434e-12,0.9998836517333984,0.622006893157959,-0.0156177590457122,1.0399064014088475,1.106668565993861,3.979319498340096,5.039616548829603,4.82047531024777,0.9299952387809752,0.918822944164276,0.998618483543396,0.6873795390129089,0.1331606209278106,0.9315333962440492,0.1596739888191223,0.4628513157367706,4.943238526844418e-11,0.0021018353290855,0.0546630583703517,0.943506956100464,0.8815715312957764,0.8502150177955627,0.3878286778926849,0.9817450642585754,0.9999802112579346,0.1563111394643783,0.9351141452789308,0.9754565954208374,0.0056098848581314,0.0003050114319194,4.368904683360597e-06,5.362678166420665e-06,0.0936653465032577,7.845105574233457e-05,3.3384321085350166e-08,0.0695009529590606,1.0544871429374323e-06,6.327082701318432e-06,0.0882926657795906,1.2630159289983569e-05,2,1,0,0,1,1,1,0,1.0,0.004,0.441,0.985,0.001,0.773,0.024,1.5787032768339808,1905.195418960847,29.14768912319608,22.04242109323245,22.85891767416017,19.59637535396391,12.699000512127126,14.59041205018538,9.713838082340237,11.729573657083078,6.671779814914904,7.800250042141594,4.534577371255081,5.165047883941165,0.926829268292683,1.5853658536585369,2.2439024390243905,-4.829999999999998,41.0,545.4220000000004,27.726150859717503,11.34233063187624,6.173650240194911,235.2164022105,13.770248159461724,0.0055876176993598,-3.4112264329041806,153.13979999999972,0,0,0,3,2,5,0,0,0,0,208.0
Nc1ccc(Cn2c(=O)c(C(=O)NCc3ccc(F)cc3)c(O)c3ncc(Cc4ccccc4)cc32)cc1,508.19,7.0,4.0,110.24,8.0,5.0,10.0,8.0,0.0,31.0,0.2580645161290322,0.0,0.0,0.283,2.47,0.1,28.0,-0.859,1,0,0,1,0.0,0.0,1.0,1.0,-4.573794677309055,3.63526092521201,3.947986429420589,152.3378591901224,379.3514563785358,9.023059432388337,4.213259240379795,-5.06821819810216,-4.747573244942568,0.0602341517806053,0.7454975247383118,0.0028085873927921,9.179115295410156e-06,0.0008440017700195,0.0010736584663391,0.0042474269866943,0.8669601678848267,0.7972001433372498,3.576847348085721e-06,0.9999939203262328,0.9090222120285034,0.2105533331632614,99.44311143637216,-0.2915486194741029,0.3475055628139098,0.786456823348999,0.0343928001821041,0.9999631643295288,0.0010676876408979,0.9999607801437378,0.3299046754837036,0.939484179019928,0.0874224305152893,0.9999966621398926,0.4637996554374695,0.999990701675415,3.0100293785251247e-11,0.9999760389328004,0.6097942590713501,0.3450239635519541,1.1383904346970313,1.1669263409469168,4.374762106631377,5.251326138555032,5.031652151076253,0.8193737268447876,0.8858261704444885,0.9726893305778505,0.9593949913978576,0.1708128452301025,0.8971645832061768,0.4906437695026397,0.697555661201477,2.49962384124558e-10,0.0259695723652839,0.4998954832553863,0.8367355465888977,0.9968348145484924,0.8461968302726746,0.5264503359794617,0.971931517124176,0.999979853630066,0.13924640417099,0.8273990154266357,0.9744715690612792,0.6806398034095764,0.0028380514122545,0.0001135517377406,0.0062047345563769,0.3255609571933746,0.000455012632301,4.334841889885866e-07,0.2676215171813965,0.0009992327541112,0.0002072031347779,0.3233222961425781,0.001639642054215,2,1,0,0,3,1,1,5,1.0,0.026,0.587,0.917,0.001,0.336,0.043,1.5728993989758149,1665.578053380856,26.64768912319608,20.39502649103049,20.39502649103049,18.38505048855872,12.041969877692813,12.041969877692813,9.039303628302148,9.039303628302148,6.299994791031434,6.299994791031434,4.315567159776977,4.315567159776977,0.9210526315789472,1.605263157894737,2.3157894736842106,-4.979999999999999,38.0,483.3530000000004,24.702840557223592,10.5583427175559,5.242995827169516,217.5659524113295,13.682182315840326,0.0530105642316005,-0.7500525840501482,144.4423999999998,0,0,0,3,2,5,0,0,0,0,190.0
CSc1ccc(C2C(C(=O)c3ccco3)=C(O)C(=O)N2c2nnc(SC)s2)cc1,445.02,7.0,1.0,96.53,6.0,4.0,6.0,10.0,0.0,23.0,0.2608695652173913,1.0,0.0,0.34,3.133,0.158,71.091,-1.873,5,0,0,0,0.0,0.0,1.0,0.0,-4.921108230712049,3.1588236049815217,3.221562779962799,197.03684229682165,330.51176661760576,7.156799090051042,2.415497225988668,-5.014927046042863,-4.747498123822838,0.4300979971885681,0.9505694508552552,0.0007071993895806,0.4728277921676636,0.2291924953460693,0.9762885607779026,0.7890059500932693,0.996417999267578,0.9983489513397216,0.0003036836569663,0.9929149150848388,0.0411040261387825,0.6703218817710876,97.7798221524454,0.1504293549336954,1.9043867822242453,0.0003795303346123,0.0459383875131607,0.0645755305886268,0.0224831756204366,1.0,0.9343007206916808,7.692857635632766e-12,2.360992039029952e-05,1.3422213385183568e-07,0.9999996423721312,0.0056060687638819,2.3803403692568276e-10,0.1339782774448394,0.9850051403045654,1.6330632846614703,1.169381261047567,1.570554641816647,4.460037149071294,6.0586825754223765,5.676016894204024,0.1173055768013,0.3725049197673797,0.9999470710754396,0.1697501987218856,0.366470992565155,0.0799376219511032,0.9964215755462646,0.8649369478225708,0.0007404173957183,0.2903440594673157,0.8840738534927368,0.5868584513664246,0.0577167756855487,0.820877194404602,0.6015627980232239,0.783573567867279,0.8670053482055664,0.1034428402781486,0.3718185126781463,0.5234543681144714,0.2246974855661392,0.0001756330020725,0.0001305014884565,0.006773330271244,0.3831423819065094,0.0003394609666429,0.0013894889270886,0.8142507076263428,0.037415537983179,0.019870787858963,0.1517759263515472,0.8968144059181213,0,0,0,0,4,3,3,2,0.592,0.001,0.243,0.631,0.467,0.971,0.0,1.8483907344124384,1090.3695034120417,20.543241116511,15.35714627830002,17.806636021083197,14.045243855508332,8.411360011940845,11.677346335651748,5.974226469657428,8.863215126615007,4.4057615360232045,7.047412370912576,3.058961545694111,4.752777803459701,1.1724137931034482,1.9310344827586208,2.5172413793103448,-2.56,29.0,430.4270000000001,19.743314035916825,8.052669535931955,3.473009514207704,178.37052588469126,13.077756256823715,0.0391175359032494,-0.834571995464853,112.83330000000002,0,1,1,1,2,3,0,0,0,0,148.0
CCCCOc1ccc(C(=O)NC(=Cc2ccc(OC)cc2)C(=O)OCc2ccco2)cc1,449.18,7.0,1.0,87.0,13.0,3.0,6.0,7.0,0.0,20.0,0.65,0.0,0.0,0.252,2.28,0.231,17.0,-0.919,3,0,0,0,0.0,0.0,1.0,0.0,-5.276544220337069,3.702457627518608,4.249563705275694,90.35083402290422,349.5426932836748,9.463839261014224,3.1886878401320504,-4.963112617178589,-4.665022733018259,0.1250824183225631,0.9812601804733276,3.3225947845494375e-05,0.9852746045216918,0.9909753846004604,0.999755985540105,0.9808212965726852,0.9999597072601318,0.9999992847442628,3.962902155763004e-06,0.9999561309814452,5.9694295487133786e-05,0.0007035612361505,98.40231762820429,-0.0632748407708945,1.1599635111713402,0.990063488483429,0.792013943195343,0.9997935891151428,0.0077623277902603,0.9999985694885254,0.9249520897865297,0.1235349774360656,0.9342378973960876,0.9999991655349731,0.0003862940648104,0.9999154806137084,3.962741593199759e-11,1.0,0.9999713897705078,6.3926645072705055,0.5060001951412458,1.4031882424317097,4.611291502702528,6.041652323108801,5.853627062975475,0.8881538510322571,0.6229479312896729,0.9955975413322448,0.6930164098739624,0.1485320627689361,0.3879046440124511,0.1488788574934005,0.6219775080680847,1.916285725656053e-07,0.1148337870836258,0.2114826440811157,0.3951686918735504,0.1927860975265503,0.2457603812217712,0.2438149601221084,0.7053951621055603,0.5686882138252258,0.1386382579803466,0.4977459609508514,0.7205827236175537,0.894427478313446,0.1588916480541229,0.0482266917824745,0.0691846534609794,0.6939992308616638,0.0190427657216787,0.0089692566543817,0.7045270800590515,0.2184689491987228,0.2364613711833953,0.3262590765953064,0.823489248752594,0,0,0,0,3,3,3,1,1.0,0.997,0.437,0.976,0.003,0.615,0.003,1.7340083325988842,1053.1762721151126,23.4680445584345,18.70612009780488,18.70612009780488,16.08404999576855,10.68213234376336,10.68213234376336,7.167185190167304,7.167185190167304,4.703666992012058,4.703666992012058,2.8533510787729885,2.8533510787729885,1.0,1.7272727272727273,2.363636363636364,-3.999999999999999,33.0,422.28700000000026,23.658688865764827,12.142772159428912,7.277201076509035,192.51328097969983,12.81571480215645,4.366007702927277e-06,-0.6851044820823293,123.78620000000004,0,0,0,2,1,3,0,0,0,0,172.0
CN(C)C1(CNc2nccc(-c3cnn(C)c3)n2)CCSC1,318.16,6.0,1.0,58.87,5.0,3.0,6.0,7.0,0.0,16.0,0.3125,1.0,0.0,0.906,3.515,0.533,56.913,-1.942,2,0,0,0,0.0,0.0,0.0,0.0,-2.9913537059264868,2.210607112105719,2.0336841574241182,153.93325357477488,301.2832933371096,9.790835330136726,5.339329260159111,-5.0100026014978765,-4.7875428485540885,0.0686722472310066,0.2248121500015258,0.2262262254953384,4.184246063232422e-05,0.0003293752670288,0.0004665851593017,0.1494785547256469,0.2069219201803207,0.4701879918575287,0.1708773970603943,0.897739589214325,0.1677321642637252,0.8608372807502747,49.76955924089671,0.1471731725844035,45.83210844969873,0.2301943004131317,0.9445770382881165,0.0031606608536094,0.2488307505846023,1.876888745755423e-05,0.2042013555765152,0.0114260660484433,0.9880367517471312,0.0105489222332835,0.9920809864997864,0.0346699990332126,0.0061464169993996,0.0001700083521427,0.0241679586470127,8.777279312459303,1.0743503772809837,1.3461245948102385,3.452576723391388,4.60367691672788,4.22377684926308,0.5858848094940186,0.6025660634040833,0.2961888015270233,0.5061931014060974,0.725576639175415,0.3109111189842224,0.141630083322525,0.6855051517486572,3.011590763435379e-07,0.0112981256097555,0.598865270614624,0.7647527456283569,0.3516823649406433,0.6588653922080994,0.4823620617389679,0.927739441394806,0.972290813922882,0.0463303253054618,0.2904928028583526,0.3555465638637543,0.0504561364650726,0.000110597044113,1.0865209105759277e-06,1.4744648069608957e-05,0.0395359545946121,3.119001121376641e-05,3.0568622605642304e-05,0.2087294161319732,0.0016510353889316,1.34579368022969e-05,0.0010338445426896,2.0379909983603284e-05,1,0,0,0,2,0,0,1,0.127,0.073,0.636,0.084,0.034,0.138,0.266,1.7297306768602023,632.4678391789756,15.579139501373252,13.28214446946835,14.098641050396076,10.588954061451613,7.401587215421769,8.556287753801017,5.943075694522548,7.048247410045088,4.262955815758541,5.497226976154659,2.6484315561987297,4.2016296754787525,1.4545454545454546,2.3181818181818183,2.9545454545454546,-1.6,22.0,296.274,15.301626275510202,6.256729157140678,3.098736205055179,134.88153838523513,4.6068584656084655,0.1927915564373898,0.1927915564373898,91.08370000000004,0,1,1,0,2,2,0,0,1,1,118.0
CCOC(=O)C1C(c2cccs2)NC(c2cccs2)C(C(=O)c2ccc(Cl)cc2)S1(=O)=O,509.02,6.0,1.0,89.54,7.0,4.0,6.0,10.0,0.0,26.0,0.2692307692307692,4.0,0.0,0.39,4.096,0.273,82.143,-0.862,3,0,0,0,0.0,0.0,1.0,1.0,-3.00730739435178,2.479274874179186,2.396721801621734,106.91922450718204,284.74134827164386,6.519875916210296,5.50345162576009,-4.847845633116628,-4.2559933584582845,0.6134005188941956,0.1458516865968704,2.393436773218127e-07,0.0023912191390991,0.0889036655426025,0.3184954524040222,0.305483341217041,0.5914169549942017,0.9980721473693848,1.306117269450624e-06,0.9999921321868896,0.0176009926944971,0.2717446982860565,97.41435755885163,-0.158015513221609,2.0222387448911427,0.0517454706132411,1.2129561582696624e-05,0.9996845722198486,0.9999148845672609,0.999787986278534,0.99968683719635,1.8367505617789e-05,0.0103542851284146,0.4278229176998138,0.9999617338180542,0.0251458697021007,0.0016280201962217,0.9974244832992554,0.5089341998100281,2.427829294201938,0.6617077183686038,1.0025612038816356,3.855302676580938,4.866417322592924,4.721595900835626,0.100875400006771,0.4120678901672363,0.999816119670868,0.0813789144158363,0.1624495387077331,0.5146065354347229,0.0435557253658771,0.0546170137822628,3.5750674669543514e-06,0.0036941864527761,0.8588463068008423,0.4872013926506042,0.0767487213015556,0.7449360489845276,0.0249050259590148,0.272615522146225,0.9997422099113464,0.002102774567902,0.0014771823771297,0.3604110777378082,0.0272471904754638,0.0008010647143237,0.0012192409485578,0.0006654942408204,0.0572848059237003,0.0008173212409019,0.000485978758661,0.6692944169044495,0.0013970481231808,0.0230050049722194,0.0048291073180735,0.3121618330478668,1,1,0,0,1,1,2,0,0.916,0.001,0.018,0.483,0.327,0.294,0.0,1.8635479562774515,1190.9441514869372,22.88010440969447,16.933961346561443,20.13938003536308,15.340572386380884,9.862295535165453,13.6090413389332,7.206265158176468,11.795029779099568,5.277978800185435,9.807391841479175,3.878250978760049,8.11651712191898,0.96875,1.53125,2.03125,-2.039999999999999,32.0,489.89800000000025,23.12940804976907,9.444741445597847,4.273487491992398,198.6551400559624,13.943747305506564,0.033893307386724,-4.299918390967497,126.16700000000004,0,1,1,1,2,3,0,0,1,1,168.0
O=C1C2CCCN2C(=O)N1CCCCNCCOc1ccc(C(F)(F)F)cc1,399.18,6.0,1.0,61.88,10.0,3.0,8.0,9.0,0.0,17.0,0.5882352941176471,1.0,0.0,0.512,2.82,0.579,62.067,-1.04,1,0,0,0,0.0,1.0,0.0,0.0,-3.44302998399637,3.057309800447419,3.211207591615975,67.51940396369693,283.17068077232943,8.78513240083056,7.5215160339990685,-5.091526518298219,-5.238742017113047,0.7482103109359741,0.9024258852005004,0.0604725144803524,0.0321000218391418,0.0702614188194274,0.1665330529212951,0.0021089911460876,0.0560974180698394,0.0776634290814399,1.885359597508796e-05,0.9822837710380554,0.0576458424329757,0.869090735912323,91.62757970766611,0.3621489039299985,7.369059885638683,0.0019949441775679,0.979496419429779,0.4421967267990112,0.9477723836898804,0.5031731128692627,0.000288595969323,0.9916985034942628,0.9994361996650696,0.3362562656402588,0.9999884366989136,0.6867741346359253,0.0191723257303237,0.2230437099933624,0.0008974830270744,9.955214478197316,1.009758124560168,0.2889701919227245,2.9773330174748285,4.613471418308439,3.559076151753524,0.8147100806236267,0.8037456274032593,0.424674779176712,0.6736491322517395,0.3852638304233551,0.6602274179458618,0.4831437766551971,0.1842921525239944,0.0002120108547387,0.0043077324517071,0.8223228454589844,0.930980145931244,0.9465272426605223,0.8179649114608765,0.7777213454246521,0.9338892698287964,0.9996862411499025,0.1329073011875152,0.317888468503952,0.8642529249191284,0.2092677056789398,0.0137749314308166,0.0395749732851982,0.4831076562404632,0.709918200969696,0.0763729959726333,0.0027340464293956,0.8565632104873657,0.1469871401786804,0.1467882990837097,0.2164276391267776,0.180908203125,1,0,0,0,3,2,0,0,0.058,0.0,0.006,0.559,0.002,0.029,0.0,1.2488462750540752,671.9045329546461,20.1480536021256,15.503777858046249,15.503777858046249,13.376028663351637,9.504866506126366,9.504866506126366,6.9515753868102665,6.9515753868102665,4.994980094734524,4.994980094734524,3.5135453487835737,3.5135453487835737,1.1071428571428572,1.8571428571428568,2.5357142857142856,-2.29,28.0,375.22100000000006,20.4444068932743,8.809192071249878,4.755307452552769,161.1667134619823,12.481283020763794,0.069073360876054,-4.346680932729959,95.87970000000004,0,2,2,1,0,1,0,0,2,2,154.0
COc1ccccc1C(=O)c1cnc(NC2CCN(C(=O)Nc3ccc(F)cc3)CC2)nc1N,464.2,9.0,4.0,122.47,8.0,4.0,6.0,10.0,0.0,26.0,0.3076923076923077,0.0,0.0,0.477,2.374,0.25,53.667,-1.666,2,0,0,0,0.0,0.0,1.0,0.0,-4.046331443543124,2.736897607499135,2.516560767140312,180.3562500453765,319.48618956330006,9.07643419616911,5.527900848160973,-5.232761724015552,-4.752274727199156,0.0053566535934805,0.9828149676322936,0.6361929178237915,0.0164698958396911,0.014474332332611,0.0377733707427978,0.6930684447288513,0.98779559135437,0.9810922145843506,0.023612817749381,0.9949565529823304,0.0524488501250743,0.6131722927093506,88.11021641603297,0.1145625928622362,12.074890957023646,0.0115392180159688,0.0008719923207536,0.8646122217178345,0.0537579096853733,0.9829423427581788,0.1299273371696472,4.747941784444265e-05,0.0042018368840217,0.0091416826471686,0.1064532399177551,0.0011306960368528,7.170056778704748e-05,0.9978967905044556,0.7063036561012268,6.039958697637204,0.6101575821582687,0.5930599513481463,3.1592267798879083,4.717349408896813,3.956414835664253,0.927902102470398,0.6806482076644897,0.911351203918457,0.3947927355766296,0.534958004951477,0.9430930614471436,0.0185456871986389,0.6625180244445801,3.926619446259494e-11,0.0064041307196021,0.6892939209938049,0.8889600038528442,0.8804663419723511,0.7210838794708252,0.4458361268043518,0.9704509377479552,0.9997416138648988,0.2953641712665558,0.4685274958610534,0.867564857006073,0.99217426776886,0.0040532713755965,0.2091559171676635,0.1191290467977523,0.9659786820411682,0.0065576042979955,0.0089793121442198,0.9934218525886536,0.7976115942001343,0.0164016932249069,0.9935704469680786,0.4633044004440307,1,1,0,0,5,1,1,5,0.214,0.452,0.555,0.765,0.002,0.204,0.46,1.3326652801323315,1179.5807366028898,24.078775022443736,18.623630216732764,18.623630216732764,16.439892043425118,10.825924034392733,10.825924034392733,7.864637350027584,7.864637350027584,5.625351620798815,5.625351620798815,3.762059747851896,3.762059747851896,1.088235294117647,1.7941176470588236,2.4705882352941178,-4.21,34.0,439.3010000000002,22.96524059368065,10.155765587338918,5.223932823697073,195.70016682211445,13.026037955960852,0.0463333820927611,-0.3565424235333039,126.50730000000004,0,1,1,2,1,3,0,0,1,1,176.0
COc1ccc(S(=O)(=O)Oc2cc(-c3ccccn3)[nH]n2)cc1,331.06,7.0,1.0,94.17,5.0,3.0,6.0,8.0,0.0,19.0,0.2631578947368421,0.0,0.0,0.721,2.41,0.067,17.0,-1.209,2,0,0,0,0.0,0.0,0.0,0.0,-3.604224502959608,2.7966148040831533,2.542563291629448,111.06668792951538,302.8553422147593,8.864573197407168,4.043129765086091,-5.286764501899188,-4.956246721223749,0.4887580275535583,0.082066461443901,0.0040548695251345,0.0090276002883911,0.0026527643203735,0.0213810801506042,0.0169209241867065,0.8408252000808716,0.988843321800232,0.8497035503387451,0.97658509016037,0.0227075852453708,0.7420305609703064,97.12797275688524,-0.3807412315785038,2.069134773963225,5.197396967560053e-05,0.0129021694883704,0.9273169040679932,0.0004530902369879,0.2365312129259109,0.8328066468238831,0.3240388035774231,0.0504271835088729,0.6934687495231628,0.0296557750552892,0.011376678943634,8.149844354932156e-09,0.999964714050293,0.151319608092308,2.538273324432205,0.6403885032680074,0.5181581278946075,3.1588306362959844,4.347575007960005,3.968367282683889,0.2344023138284683,0.3899513185024261,0.9948754906654358,0.5814598202705383,0.2831545174121856,0.6817790865898132,0.2665021121501922,0.7666506767272949,0.008163577876985,0.9683133363723756,0.7285763621330261,0.7243893146514893,0.6013880968093872,0.2614447772502899,0.2103074640035629,0.7179940938949585,0.969465672969818,0.1053007617592811,0.0233749449253082,0.2437734156847,0.0133585045114159,0.0006527633522637,2.04179814318195e-05,2.011115793720819e-05,0.7643211483955383,0.0484418608248233,3.514738637022674e-05,0.0076324846595525,5.794697426608764e-05,1.2424889973772224e-05,0.1034237220883369,7.20313037163578e-05,1,0,1,0,1,2,2,0,0.184,0.394,0.114,0.385,0.125,0.759,0.019,1.8179353164047551,889.9861289555492,16.286246282559798,12.131821066025866,12.948317646953592,11.081648125274324,6.637032617987114,8.045280908450977,4.547821212765255,6.094140690686815,3.0384032285360347,4.278095765637788,1.90224344469308,2.77807071257109,1.0869565217391304,1.8695652173913044,2.5217391304347827,-2.87,23.0,318.249,15.042183664330786,6.091007399812985,3.3182742502424656,132.58893631419207,12.21442334341144,0.0145241769547326,-3.96563001280759,82.62650000000001,0,0,0,1,2,3,0,0,0,0,118.0
O=C(Nc1ccc(F)cn1)C(COCCO)Oc1ncnc2c1cnn2-c1c(F)cccc1Cl,490.1,10.0,2.0,124.28,10.0,4.0,9.0,13.0,0.0,23.0,0.4347826086956521,1.0,0.0,0.343,3.388,0.19,46.0,-1.682,1,0,0,0,0.0,0.0,1.0,0.0,-4.423379816208207,2.488820836372562,2.266976051951149,152.8263452947864,305.89612900347265,7.736006872412457,5.144505236446694,-5.169296368753676,-4.722774463473257,0.1045464724302291,0.7511159777641296,7.772214303258806e-05,1.0013580322265623e-05,2.3365020751953125e-05,0.0002163052558898,0.0008828043937683,0.713760256767273,0.8692765235900879,5.950234935880872e-06,0.9999994039535522,0.8636602759361267,0.949750542640686,83.45340651330658,0.1338011900739577,14.908706167903492,0.0001833207788877,0.0016610679449513,0.0005300611956045,4.376122888061218e-06,0.0005948806647211,0.0801468044519424,8.307416088371156e-09,3.125924422420212e-06,1.109041659219656e-05,0.6845275163650513,0.4534489214420318,1.1857751695691e-19,0.999998927116394,0.9957204461097716,4.242687920415075,0.8572518510920795,0.5869123437511694,3.254692591486559,5.085851460390423,4.008797345313335,0.2591030299663543,0.2215576320886612,0.981607973575592,0.705353856086731,0.6338327527046204,0.3151916563510895,0.7480608820915222,0.788504958152771,1.2826768625018306e-07,0.0993976444005966,0.5129016041755676,0.902477502822876,0.9836578965187072,0.8988417983055115,0.4399121403694153,0.9952408075332642,0.9873576164245604,0.1894884407520294,0.0592070892453193,0.5052475333213806,0.5382888317108154,0.6650466918945312,0.0010512206936255,0.4088406860828399,0.1716120094060897,0.0058265021070837,0.0032407809048891,0.9506851434707642,0.0373157858848571,0.0040896367281675,0.9328100681304932,0.3470215201377868,3,0,0,0,4,1,1,1,0.283,0.041,0.048,0.494,0.005,0.158,0.012,1.63352073932425,1284.1682511695717,24.07877502244374,17.3593926296853,18.11532157570376,16.47356554823633,9.88427907594578,10.262243548955006,6.7986646083883455,7.205864735128951,4.508429903636595,4.813424605031496,2.9809041952828004,3.223966410338764,1.1764705882352942,2.0294117647058822,2.764705882352941,-3.7399999999999993,34.0,473.7180000000002,23.41925511169673,10.462397162203526,5.085602572183557,195.6851895627394,14.42383992447599,0.0076175464446561,-1.2389792419025232,116.7735,0,0,0,1,3,4,0,0,0,0,176.0
