Feature1,Feature2,Correlation,AbsCorrelation,Range
Chi1,HeavyAtomCount,0.9983877815668492,0.9983877815668492,0.9 - 1.0
HeavyAtomCount,Chi1,0.9983877815668492,0.9983877815668492,0.9 - 1.0
MW,HeavyAtomMolWt,0.998101245777816,0.998101245777816,0.9 - 1.0
HeavyAtomMolWt,MW,0.998101245777816,0.998101245777816,0.9 - 1.0
Chi0,HeavyAtomCount,0.9955554000350736,0.9955554000350736,0.9 - 1.0
HeavyAtomCount,Chi0,0.9955554000350736,0.9955554000350736,0.9 - 1.0
LabuteASA,HeavyAtomCount,0.9949576352316879,0.9949576352316879,0.9 - 1.0
HeavyAtomCount,LabuteASA,0.9949576352316879,0.9949576352316879,0.9 - 1.0
Chi0,NumValenceElectrons,0.9940086893820416,0.9940086893820416,0.9 - 1.0
NumValenceElectrons,Chi0,0.9940086893820416,0.9940086893820416,0.9 - 1.0
Chi1,LabuteASA,0.9936359345225904,0.9936359345225904,0.9 - 1.0
LabuteASA,Chi1,0.9936359345225904,0.9936359345225904,0.9 - 1.0
HeavyAtomCount,NumValenceElectrons,0.9912208722066299,0.9912208722066299,0.9 - 1.0
NumValenceElectrons,HeavyAtomCount,0.9912208722066299,0.9912208722066299,0.9 - 1.0
LabuteASA,Chi0v,0.9910300224603014,0.9910300224603014,0.9 - 1.0
Chi0v,LabuteASA,0.9910300224603014,0.9910300224603014,0.9 - 1.0
LabuteASA,Chi0,0.9909069295281605,0.9909069295281605,0.9 - 1.0
Chi0,LabuteASA,0.9909069295281605,0.9909069295281605,0.9 - 1.0
NumValenceElectrons,LabuteASA,0.9900773963133185,0.9900773963133185,0.9 - 1.0
LabuteASA,NumValenceElectrons,0.9900773963133185,0.9900773963133185,0.9 - 1.0
Chi0,Chi1,0.989341405677055,0.989341405677055,0.9 - 1.0
Chi1,Chi0,0.989341405677055,0.989341405677055,0.9 - 1.0
NumValenceElectrons,Chi0n,0.9878791454425414,0.9878791454425414,0.9 - 1.0
Chi0n,NumValenceElectrons,0.9878791454425414,0.9878791454425414,0.9 - 1.0
Chi0n,Chi0v,0.9877246507351138,0.9877246507351138,0.9 - 1.0
Chi0v,Chi0n,0.9877246507351138,0.9877246507351138,0.9 - 1.0
MolMR,LabuteASA,0.9875237398176192,0.9875237398176192,0.9 - 1.0
LabuteASA,MolMR,0.9875237398176192,0.9875237398176192,0.9 - 1.0
MW,LabuteASA,0.9873664088060936,0.9873664088060936,0.9 - 1.0
LabuteASA,MW,0.9873664088060936,0.9873664088060936,0.9 - 1.0
Chi0n,Chi1n,0.9865875140185376,0.9865875140185376,0.9 - 1.0
Chi1n,Chi0n,0.9865875140185376,0.9865875140185376,0.9 - 1.0
Chi1,NumValenceElectrons,0.9859851574971963,0.9859851574971963,0.9 - 1.0
NumValenceElectrons,Chi1,0.9859851574971963,0.9859851574971963,0.9 - 1.0
Kappa1,NumValenceElectrons,0.9856778375981442,0.9856778375981442,0.9 - 1.0
NumValenceElectrons,Kappa1,0.9856778375981442,0.9856778375981442,0.9 - 1.0
NumValenceElectrons,Chi0v,0.985496050217155,0.985496050217155,0.9 - 1.0
Chi0v,NumValenceElectrons,0.985496050217155,0.985496050217155,0.9 - 1.0
Chi0,MW,0.9834816830977295,0.9834816830977295,0.9 - 1.0
MW,Chi0,0.9834816830977295,0.9834816830977295,0.9 - 1.0
Chi0n,LabuteASA,0.9834475542201608,0.9834475542201608,0.9 - 1.0
LabuteASA,Chi0n,0.9834475542201608,0.9834475542201608,0.9 - 1.0
Chi0v,MolMR,0.9821187466826716,0.9821187466826716,0.9 - 1.0
MolMR,Chi0v,0.9821187466826716,0.9821187466826716,0.9 - 1.0
Chi4n,Chi3n,0.9819655363466178,0.9819655363466178,0.9 - 1.0
Chi3n,Chi4n,0.9819655363466178,0.9819655363466178,0.9 - 1.0
